,score
1962,6
14443,29
20456,146
20146,378
4062,12
6604,1
30691,1
34407,1
1427,7
10104,0
9150,13
19316,0
33743,2
6957,42
30609,5
26101,22
937,1
26002,4
26244,23
32898,10
7736,4
31106,1
10085,11
33761,21
26732,24
12563,12
26575,46
12127,54
4519,69
17077,10
23267,7
29341,1
34094,7
14490,8
27757,15
25667,12
10460,15
18548,1
17458,1
16955,4
12516,576
19458,0
17917,1
63,6
30526,1
3783,1
1455,2
12336,7
10501,0
31340,9
35248,2
9353,8
2700,1
11206,0
25967,21
28077,15
32694,68
884,5
20870,14
18941,2
30962,59
11052,1198
749,5
1311,2
18241,0
35735,1
27734,4
25808,0
1250,4
26999,2
14044,18
2747,3
18653,1
19911,454
10957,30
17418,1
20621,449
31022,0
34215,3
17686,1
12241,6
25130,6
10030,62
17214,1
32357,3
69,3
30519,0
22833,20
469,11
22038,5
8028,2
21381,22
27919,14
15095,2
22012,3
16855,0
1551,15
10016,392
8009,2
5615,22
30083,1
2863,56
7667,1
27721,29
15255,2
6345,126
35842,12
5542,2
30349,1
10281,46
17750,6
9536,2
31908,0
20182,5
35255,13
14831,28
64,4
3174,9
31590,1
18533,90
23093,152
10534,0
31226,9
10125,2
31677,1
10393,49
436,4
10430,2
20003,403
31391,1
1101,0
8290,0
4713,3
2639,1
20304,241
22399,7
32347,1
23307,69
31523,1
26209,13
14317,20
3946,2
2073,72
5088,64
9152,1
28151,3
546,255
2411,3
33032,14
36012,8
34763,0
6007,8
8567,11
26037,4
17538,1
26623,2
30668,2
8611,0
34853,3
18745,3
15201,3
752,6
17139,3
16337,6
34058,109
11005,454
8431,3
17475,0
20234,16
9771,4
17640,1
18107,1
11617,2
13690,13
35970,19
1478,552
12634,54
30573,0
17057,6
9031,5
14825,145
27826,36
21835,81
20153,21
8144,14
23265,2015
3176,6
48,4
12910,2
15962,2
22713,19
35320,17
13047,7
6359,2
14114,11
24263,38
18365,12
25384,3
3873,1
10123,454
23064,39
30271,1
31838,1
9129,0
33646,68
27379,24
27021,0
34007,3
33415,6
19174,435
3681,14
8629,2
33191,1
28134,245
32796,0
28815,1
5844,2
35965,9
6775,8
